Date,Stations,Min_Temp
16-05-1970,Rajshahi,****
16-06-1970,Rajshahi,****
16-03-1970,Rangpur,16.9
16-04-1970,Rangpur,18.3
16-05-1970,Rangpur,21.2
16-06-1970,Rangpur,23.9
16-03-1970,Satkhira,23.3
16-04-1970,Satkhira,25.6
16-05-1970,Satkhira,25
16-06-1970,Satkhira,25
16-03-1970,Srimangal,20
16-04-1970,Srimangal,20.4
16-05-1970,Srimangal,22.2
16-06-1970,Srimangal,23.9
16-03-1970,Sylhet,21.1
16-04-1970,Sylhet,18.3
16-05-1970,Sylhet,21.7
16-06-1970,Sylhet,25.6
17-03-1970,Barisal,20.5
17-04-1970,Barisal,22.2
17-05-1970,Barisal,28.2
17-06-1970,Barisal,26.1
17-03-1970,Bhola,17.3
17-04-1970,Bhola,24.6
17-05-1970,Bhola,28.4
17-06-1970,Bhola,23.9
17-03-1970,Bogra,17
17-04-1970,Bogra,20.3
17-05-1970,Bogra,21.8
17-06-1970,Bogra,26.9
17-03-1970,Dinajpur,20.6
17-04-1970,Dinajpur,20.6
17-05-1970,Dinajpur,23.4
17-06-1970,Dinajpur,24.5
17-03-1970,Ishurdi,17.8
17-04-1970,Ishurdi,24.4
17-05-1970,Ishurdi,26.3
17-06-1970,Ishurdi,27.2
17-03-1970,Jessore,19.7
17-04-1970,Jessore,23.4
17-05-1970,Jessore,25.8
17-06-1970,Jessore,27.2
17-03-1970,Khulna,22.8
17-04-1970,Khulna,24.3
17-05-1970,Khulna,27.3
17-06-1970,Khulna,26.7
17-03-1970,Rajshahi,****
17-04-1970,Rajshahi,****
17-05-1970,Rajshahi,****
17-06-1970,Rajshahi,****
17-03-1970,Rangpur,16.8
17-04-1970,Rangpur,18.7
17-05-1970,Rangpur,20.5
17-06-1970,Rangpur,23.6
17-03-1970,Satkhira,20.2
17-04-1970,Satkhira,24.4
17-05-1970,Satkhira,23.9
17-06-1970,Satkhira,25
17-03-1970,Srimangal,17.8
17-04-1970,Srimangal,21
17-05-1970,Srimangal,23.3
17-06-1970,Srimangal,23.3
17-03-1970,Sylhet,17.8
17-04-1970,Sylhet,22.8
17-05-1970,Sylhet,20.6
17-06-1970,Sylhet,25
18-03-1970,Barisal,20.1
18-04-1970,Barisal,20
18-05-1970,Barisal,19.4
18-06-1970,Barisal,27.6
18-03-1970,Bhola,19.5
18-04-1970,Bhola,23.9
18-05-1970,Bhola,20.6
18-06-1970,Bhola,22.3
18-03-1970,Bogra,****
18-04-1970,Bogra,20.4
18-05-1970,Bogra,21.3
18-06-1970,Bogra,27.7
18-03-1970,Dinajpur,17.3
18-04-1970,Dinajpur,22.8
18-05-1970,Dinajpur,21.2
18-06-1970,Dinajpur,26.7
18-03-1970,Ishurdi,16.7
18-04-1970,Ishurdi,26.5
18-05-1970,Ishurdi,20.4
18-06-1970,Ishurdi,26.7
18-03-1970,Jessore,19
18-04-1970,Jessore,26.8
18-05-1970,Jessore,21.9
18-06-1970,Jessore,27.6
18-03-1970,Khulna,23.1
18-04-1970,Khulna,27.2
18-05-1970,Khulna,****
18-06-1970,Khulna,27.8
18-03-1970,Rajshahi,****
18-04-1970,Rajshahi,****
18-05-1970,Rajshahi,****
