Temp_Max,tmin,rh,rain,sunshine,windsp
32.6,23.8,75,0,6.6,1
28,13.6,65,0,10.4,0
30.6,26.6,91,0,5.1,0
30,18.3,76,0,8.5,2
28,20.2,67,0,1.5,4.5
34.2,25.6,83,0,10.9,2
27,17,76,0,8.9,1
29.7,16.2,83,0,8.9,2
30.8,18,75,0,9.9,2
33,22.6,84,0,8.1,5.7
32.7,25.4,87,0,7.2,3
30.1,24.6,92,34,3.4,2
26.4,23.6,96,45,5.6,2
29.4,24.4,85,4,0.2,5
28.9,25,91,2,0,3
31.7,25.4,79,0,10.4,2
33.2,25.3,81,0,10.4,3
31.9,26.7,88,0,4.7,0
29.4,25,91,2,3.3,0
30.1,23.6,91,9,5,2
30.9,24.9,89,5,7.4,0
32.7,25.1,84,1,11.4,3
32.4,25.6,86,0,8.7,2
32.4,23.9,81,0,10.4,2
32.2,25.6,78,0,9,2
32,25.4,83,0,10.2,0
31.4,25.6,87,0,5.2,2
32,23.1,73,1,11.3,2
32.2,24.4,73,0,11,0
32.9,25,77,0,9.2,2.3
30.7,22.9,87,7,9.3,2
27.4,24.8,76,0,10.1,2
30.1,22.2,76,0,2.4,4
25.3,23.9,97,19,0,1
