Date,Stations,Min_Temp
12-11-1970,Jessore,21.2
12-06-1970,Khulna,26.1
12-07-1970,Khulna,24.7
12-08-1970,Khulna,****
12-09-1970,Khulna,26.3
12-10-1970,Khulna,****
12-11-1970,Khulna,22.2
12-06-1970,Rajshahi,****
12-07-1970,Rajshahi,****
12-08-1970,Rajshahi,****
12-09-1970,Rajshahi,****
12-10-1970,Rajshahi,****
12-11-1970,Rajshahi,****
12-06-1970,Rangpur,24.2
12-07-1970,Rangpur,24.4
12-08-1970,Rangpur,25.3
12-09-1970,Rangpur,25.7
12-10-1970,Rangpur,21.9
12-11-1970,Rangpur,19.7
12-06-1970,Satkhira,25
12-07-1970,Satkhira,21.7
12-08-1970,Satkhira,26.1
12-09-1970,Satkhira,25.6
12-10-1970,Satkhira,25
12-11-1970,Satkhira,22.2
12-06-1970,Srimangal,25
12-07-1970,Srimangal,25.8
