Date,Stations,Max_Temp
15-03-1970,Bogra,34.7
15-04-1970,Bogra,33.9
15-05-1970,Bogra,32.2
15-06-1970,Bogra,31.7
15-03-1970,Dinajpur,34.4
15-04-1970,Dinajpur,31.1
15-05-1970,Dinajpur,30.6
15-06-1970,Dinajpur,32.2
15-03-1970,Ishurdi,35
15-04-1970,Ishurdi,36.2
15-05-1970,Ishurdi,37.9
15-06-1970,Ishurdi,31.8
15-03-1970,Jessore,35
15-04-1970,Jessore,35.6
15-05-1970,Jessore,37.5
15-06-1970,Jessore,31.4
15-03-1970,Khulna,36.8
15-04-1970,Khulna,****
15-05-1970,Khulna,36.1
15-06-1970,Khulna,32.2
15-03-1970,Rajshahi,****
15-04-1970,Rajshahi,****
15-05-1970,Rajshahi,****
15-06-1970,Rajshahi,****
15-03-1970,Rangpur,35.9
15-04-1970,Rangpur,36.9
15-05-1970,Rangpur,32.5
15-06-1970,Rangpur,36.4
15-03-1970,Satkhira,32.7
15-04-1970,Satkhira,36.7
15-05-1970,Satkhira,37.2
15-06-1970,Satkhira,30
15-03-1970,Srimangal,34.4
15-04-1970,Srimangal,33.2
15-05-1970,Srimangal,28.8
15-06-1970,Srimangal,32.2
15-03-1970,Sylhet,31.7
15-04-1970,Sylhet,27.2
15-05-1970,Sylhet,25.6
15-06-1970,Sylhet,32.2
16-03-1970,Barisal,34.7
16-04-1970,Barisal,32.8
16-05-1970,Barisal,33.8
16-06-1970,Barisal,31.4
16-03-1970,Bhola,30.8
16-04-1970,Bhola,35.7
16-05-1970,Bhola,32.3
16-06-1970,Bhola,33.6
16-03-1970,Bogra,35.6
16-04-1970,Bogra,27.9
16-05-1970,Bogra,37.2
16-06-1970,Bogra,29.6
16-03-1970,Dinajpur,33.3
16-04-1970,Dinajpur,31.8
16-05-1970,Dinajpur,30.6
16-06-1970,Dinajpur,31.7
16-03-1970,Ishurdi,36.2
16-04-1970,Ishurdi,31.7
16-05-1970,Ishurdi,36.9
16-06-1970,Ishurdi,31.7
16-03-1970,Jessore,36.1
16-04-1970,Jessore,36.2
16-05-1970,Jessore,35.6
16-06-1970,Jessore,30.3
16-03-1970,Khulna,36.8
16-04-1970,Khulna,35.7
16-05-1970,Khulna,36.2
16-06-1970,Khulna,29.9
16-03-1970,Rajshahi,****
16-04-1970,Rajshahi,****
16-05-1970,Rajshahi,****
16-06-1970,Rajshahi,****
16-03-1970,Rangpur,35.3
16-04-1970,Rangpur,37.7
16-05-1970,Rangpur,31.1
16-06-1970,Rangpur,31.9
16-03-1970,Satkhira,32.9
16-04-1970,Satkhira,36.7
16-05-1970,Satkhira,36.9
16-06-1970,Satkhira,31.1
16-03-1970,Srimangal,30.2
16-04-1970,Srimangal,28.3
16-05-1970,Srimangal,28.3
16-06-1970,Srimangal,29.4
16-03-1970,Sylhet,32.8
16-04-1970,Sylhet,28.9
16-05-1970,Sylhet,23.9
16-06-1970,Sylhet,30.6
17-03-1970,Barisal,34.2
17-04-1970,Barisal,33.3
17-05-1970,Barisal,34.7
17-06-1970,Barisal,32.2
17-03-1970,Bhola,30.7
17-04-1970,Bhola,36.2
17-05-1970,Bhola,34.6
17-06-1970,Bhola,30.2
17-03-1970,Bogra,35
17-04-1970,Bogra,31.7
17-05-1970,Bogra,32.2
17-06-1970,Bogra,32.2
17-03-1970,Dinajpur,33.9
17-04-1970,Dinajpur,31.1
17-05-1970,Dinajpur,31.1
17-06-1970,Dinajpur,28.9
17-03-1970,Ishurdi,34.8
17-04-1970,Ishurdi,36.2
17-05-1970,Ishurdi,37.2
17-06-1970,Ishurdi,33.6
17-03-1970,Jessore,34.6
17-04-1970,Jessore,35.7
17-05-1970,Jessore,35.6
17-06-1970,Jessore,33.2
17-03-1970,Khulna,37.2
17-04-1970,Khulna,35.2
17-05-1970,Khulna,36.1
17-06-1970,Khulna,****
17-03-1970,Rajshahi,****
17-04-1970,Rajshahi,****
17-05-1970,Rajshahi,****
17-06-1970,Rajshahi,****
17-03-1970,Rangpur,35.4
17-04-1970,Rangpur,37.3
17-05-1970,Rangpur,31.9
17-06-1970,Rangpur,29.7
17-03-1970,Satkhira,35.2
17-04-1970,Satkhira,36.8
17-05-1970,Satkhira,36.9
17-06-1970,Satkhira,30
17-03-1970,Srimangal,34.9
17-04-1970,Srimangal,29.9
17-05-1970,Srimangal,29.9
17-06-1970,Srimangal,32.2
17-03-1970,Sylhet,32.8
17-04-1970,Sylhet,29.4
17-05-1970,Sylhet,23.9
17-06-1970,Sylhet,31.1
18-03-1970,Barisal,34.4
18-04-1970,Barisal,32.8
18-05-1970,Barisal,27.6
18-06-1970,Barisal,32.2
18-03-1970,Bhola,34.7
18-04-1970,Bhola,29.6
18-05-1970,Bhola,26.9
18-06-1970,Bhola,31.7
18-03-1970,Bogra,34.4
18-04-1970,Bogra,43.4
18-05-1970,Bogra,26.1
18-06-1970,Bogra,32.8
18-03-1970,Dinajpur,33.9
18-04-1970,Dinajpur,36.1
18-05-1970,Dinajpur,27.8
18-06-1970,Dinajpur,29.4
18-03-1970,Ishurdi,35.1
18-04-1970,Ishurdi,39.2
18-05-1970,Ishurdi,28.4
18-06-1970,Ishurdi,33
18-03-1970,Jessore,34.6
18-04-1970,Jessore,35.6
18-05-1970,Jessore,28.7
18-06-1970,Jessore,33.3
18-03-1970,Khulna,37.2
18-04-1970,Khulna,36.8
18-05-1970,Khulna,34.9
18-06-1970,Khulna,****
18-03-1970,Rajshahi,****
18-04-1970,Rajshahi,****
18-05-1970,Rajshahi,****
18-06-1970,Rajshahi,****
